station_name,time,capacity,available_mechanical,available_electrical,station_geo,operative,ts_hour,pluie,vent,soleil,nuage,date,holiday_flag,available_total,docks_available,fill_rate,target_empty,target_full,hour,day_of_week,rolling_fill_rate,is_weekend
Berthier - Place Stuart Merril,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Berthier - Porte de Clichy,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bertie Albrecht - Hoche,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bertrand Sincholle - Henri Barbusse,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bessières - Porte de Clichy,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bibliothèque Nationale,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bibliothèque Nationale de France,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bienfaisance - Place de Narvik,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Billancourt - Général Leclerc ,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bineau - Louise Michel,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bir Hakeim,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Blaise-Desgoffe - Vaugirard,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Blancs-Manteaux - Archives ,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bleue - Trévise,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bobillot - Moulin des Prés,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bobillot - Paulin Mery,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Bobillot - Tolbiac,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
